Date,MKPRU,MKPRUPNZ
31/12/2019,-0.022444404,N
30/12/2019,0.011544883,P
29/12/2019,0.007887983,P
28/12/2019,0.006884521,P
27/12/2019,0.000233569,P
26/12/2019,-0.007995101,N
25/12/2019,-0.009749962,N
24/12/2019,-0.025594824,N
23/12/2019,0.051966906,P
22/12/2019,-0.00653253,N
21/12/2019,0.005497241,P
20/12/2019,-0.018317502,N
19/12/2019,0.10165726,P
18/12/2019,-0.038871785,N
17/12/2019,-0.032568618,N
16/12/2019,0.006140577,P
15/12/2019,-0.025390692,N
14/12/2019,0.008722855,P
13/12/2019,-0.001825803,N
12/12/2019,-0.002555133,N
11/12/2019,-0.015899322,N
10/12/2019,-0.02458926,N
9/12/2019,0.002339826,P
8/12/2019,-0.005612685,N
7/12/2019,0.02044627,P
6/12/2019,0.028239154,P
5/12/2019,-0.014241918,N
4/12/2019,-0.00175386,N
3/12/2019,-0.012576509,N
2/12/2019,-0.0205128,N
1/12/2019,-0.025749374,N
30/11/2019,0.043933522,P
29/11/2019,-0.012338131,N
28/11/2019,0.050281771,P
27/11/2019,0.004681463,P
26/11/2019,0.032262501,P
25/11/2019,-0.056885349,N
24/11/2019,0.005171313,P
23/11/2019,-0.04341827,N
22/11/2019,-0.057504445,N
21/11/2019,-0.004801251,N
20/11/2019,-0.006750253,N
19/11/2019,-0.038563347,N
18/11/2019,0.002502741,P
17/11/2019,0.002957072,P
16/11/2019,-0.020229788,N
15/11/2019,-0.014847496,N
14/11/2019,-0.004442414,N
13/11/2019,0.009602182,P
12/11/2019,-0.035333159,N
11/11/2019,0.025848496,P
10/11/2019,0.004947502,P
9/11/2019,-0.047608493,N
8/11/2019,-0.01488761,N
7/11/2019,0.003560615,P
6/11/2019,-0.011452477,N
5/11/2019,0.023016111,P
4/11/2019,-0.010215908,N
3/11/2019,0.005208046,P
2/11/2019,0.011479037,P
1/11/2019,-0.001815678,N
31/10/2019,-0.028487229,N
30/10/2019,0.023277534,P
29/10/2019,-0.034840455,N
28/10/2019,0.03150608,P
27/10/2019,0.068423257,P
26/10/2019,0.166163878,P
25/10/2019,-0.005044474,N
24/10/2019,-0.069417797,N
23/10/2019,-0.023807786,N
22/10/2019,-0.001037533,N
21/10/2019,0.034047568,P
20/10/2019,0.000740494,P
19/10/2019,-0.015183031,N
18/10/2019,0.009280838,P
17/10/2019,-0.019559773,N
16/10/2019,-0.022910048,N
15/10/2019,0.008423711,P
14/10/2019,-0.00291887,N
13/10/2019,0.00462893,P
12/10/2019,-0.036936496,N
11/10/2019,-0.000118771,N
